year,date,event
3200 BCE,-3200-01-01,Sumerian cuneiform writing system and Egyptian hieroglyphs are first used.
3200 BCE,-3200-01-01,Cycladic culture in Greece.
3200 BCE,-3200-01-01,Caral-Supe civilization begins in Peru.
3200 BCE,-3200-01-01,Rise of Proto-Elamite Civilization in Iran.
3150 BCE,-3150-01-01,First Dynasty of Egypt.
3100 BCE,-3100-01-01,Skara Brae is built in Scotland.
3000 BCE,-3000-01-01,"Stonehenge construction begins. In its first version, it consisted of a circular ditch and bank, with 56 wooden posts."
3000 BCE,-3000-01-01,Cucuteni–Trypillia culture is established in Romania and Ukraine.
3000 BCE,-3000-01-01,Jiroft culture begins in Iran.
3000 BCE,-3000-01-01,First known use of papyrus by Egyptians.
3000 BCE,-3000-01-01,Domestication of the horse in the Yamnaya culture.
2800 BCE,-2800-01-01,Kot Diji phase of the Indus Valley Civilisation begins.
2800 BCE,-2800-01-01,Longshan culture begins in China.
2700 BCE,-2700-01-01,"Minoan civilization ancient palace city Knossos reaches 80,000 inhabitants."
2700 BCE,-2700-01-01,Rise of Elam in Iran.
2700 BCE,-2700-01-01,The Old Kingdom begins in Egypt.
2600 BCE,-2600-01-01,"Oldest known surviving literature: Sumerian texts from Abu Salabikh, including the Instructions of Shuruppak and the Kesh temple hymn."
2600 BCE,-2600-01-01,Mature Harappan phase of the Indus Valley civilization (in present-day Pakistan and India) begins.
2600 BCE,-2600-01-01,Emergence of Mayan culture in the Yucatán Peninsula.
2560 BCE,-2560-01-01,King Khufu completes the Great Pyramid of Giza. The Land of Punt in the Horn of Africa first appears in Egyptian records around this time.
2500 BCE,-2500-01-01,"The last mammoth population, on Wrangel Island in Siberia, goes extinct."
2492 BCE,-2492-01-01,Traditional date for the legendary foundation of Armenia by Hayk.
2250 BCE,-2250-01-01,"Oldest known depiction of the Staff God, the oldest image of a god to be found in the Americas."
2200 BCE,-2200-01-01,completion of Stonehenge.
2055 BCE,-2055-01-01,The Middle Kingdom begins in Egypt.
1900 BCE,-1900-01-01,Erlitou culture begins in China.
1800 BCE,-1800-01-01,Alphabetic writing emerges.
1800 BCE,-1800-01-01,The Old Babylonian text of the Epic of Gilgamesh is written. Possibly the oldest significant work of literature.
1780 BCE,-1780-01-01,Oldest Record of Hammurabi's Code.
1700 BCE,-1700-01-01,Indus Valley Civilization comes to an end but is continued by the Cemetery H culture; The beginning of Poverty Point culture in North America.
1600 BCE,-1600-01-01,Minoan civilization on Crete is destroyed by the Minoan eruption of Santorini island.
1600 BCE,-1600-01-01,Mycenaean Greece.
1600 BCE,-1600-01-01,"The beginning of Shang dynasty in China, evidence of a fully developed writing system, see Oracle bone script."
1600 BCE,-1600-01-01,Beginning of Hittite dominance of the Eastern Mediterranean region.
1550 BCE,-1550-01-01,The New Kingdom begins in Egypt.
1500 BCE,-1500-01-01,Composition of the Rigveda is completed.
1400 BCE,-1400-01-01,Oldest known song with notation.
1200 BCE,-1200-01-01,The Hallstatt culture begins.
1180 BCE,-1180-01-01,Disintegration of Hittite Empire.
1100 BCE,-1100-01-01,Use of Iron spreads.
1050 BCE,-1050-01-01,The Phoenician alphabet is created.
1046 BCE,-1046-01-01,The Zhou force (led by King Wu of Zhou) overthrow the last king of Shang dynasty; Zhou dynasty established in China.
1000 BCE,-1000-01-01,Nok culture begins in West Africa.
1000 BCE,-1000-01-01,"The second stream of Bantu expansion reaches the great lakes region of Africa, creating a major population centre."
890 BCE,-890-01-01,Approximate date for the composition of the Iliad and the Odyssey.
814 BCE,-814-01-01,Foundation of Carthage by the Phoenicians in today known Tunisia.
800 BCE,-800-01-01,Rise of Greek city-states.
788 BCE,-788-01-01,Iron Age begins in Sungai Batu (Old Kedah).
785 BCE,-785-01-01,Rise of the Kingdom of Kush.
776 BCE,-776-01-01,First recorded Ancient Olympic Games.
771 BCE,-771-01-01,Spring and Autumn period begins in China; Zhou dynasty's power is diminishing; the era of the Hundred Schools of Thought.
753 BCE,-753-01-01,Founding of Rome (traditional date).
745 BCE,-745-01-01,Tiglath-Pileser III becomes the new king of Assyria. With time he conquers neighboring countries and turns Assyria into an empire.
728 BCE,-728-01-01,Rise of the Median Empire.
700 BCE,-700-01-01,"The construction of Marib Dam in Arabia Felix, in modern Saudi Arabia and Yemen."
653 BCE,-653-01-01,Rise of Achaemenid dynasty.
612 BCE,-612-01-01,"An alliance between the Babylonians, Medes, and Scythians succeeds in destroying Nineveh and causing subsequent fall of the Assyrian empire."
600 BCE,-600-01-01,Pandyan kingdom is founded in South India.
600 BCE,-600-01-01,"Sixteen Mahajanapadas ('Great Realms' or 'Great Kingdoms') emerge in India."
600 BCE,-600-01-01,Evidence of writing system appears in Oaxaca used by the Zapotec civilization.
600 BCE,-600-01-01,Rise of the Sao civilization near Lake Chad.
563 BCE,-563-01-01,"Siddhartha Gautama (Buddha), founder of Buddhism is born as a prince of the Shakya clan, which ruled parts of Magadha, one of the Mahajanapadas."
551 BCE,-551-01-01,"Confucius, founder of Confucianism, is born."
550 BCE,-550-01-01,Foundation of the Achaemenid Empire by Cyrus the Great.
549 BCE,-549-01-01,"Mahavira, founder of Jainism, is born."
546 BCE,-546-01-01,"Cyrus the Great overthrows Croesus, King of Lydia."
544 BCE,-544-01-01,Rise of Magadha as the dominant power under Bimbisara.
539 BCE,-539-01-01,The fall of the Neo-Babylonian Empire and liberation of the Jews by Cyrus the Great.
529 BCE,-529-01-01,Death of Cyrus the Great.
525 BCE,-525-01-01,Cambyses II of Persia conquers Ancient Egypt.
512 BCE,-512-01-01,"Darius I (Darius the Great) of Persia, subjugates eastern Thrace, Macedonia submits voluntarily, and annexes the Libyan Kingdom, Persian Empire at largest extent."
509 BCE,-509-01-01,"Expulsion of Lucius Tarquinius Superbus, founding of Roman Republic (traditional date)."
508 BCE,-508-01-01,Athenian democracy instituted at the Republic of Athens.
500 BCE,-500-01-01,Panini standardizes the grammar and morphology of Sanskrit in the text Ashtadhyayi. Panini's standardized Sanskrit is known as Classical Sanskrit.
499 BCE,-499-01-01,"King Aristagoras of Miletus incites all of Hellenic Asia Minor to rebel against the Persian Empire, beginning the Greco-Persian Wars."
490 BCE,-490-01-01,Greek city-states defeat Persian invasion at Battle of Marathon.
483 BCE,-483-01-01,Death of Gautama Buddha.
480 BCE,-480-01-01,Persian invasion of Greece by Xerxes I; Battles of Thermopylae and Salamis.
479 BCE,-479-01-01,Death of Confucius.
475 BCE,-475-01-01,Warring States period begins in China as the Zhou king became a mere figurehead; China is annexed by regional warlords.
470 BCE,-470-01-01,Birth of Socrates.
465 BCE,-465-01-01,Murder of Xerxes I.
460 BCE,-460-01-01,Birth of Democritus.
458 BCE,-458-01-01,"The Oresteia by Aeschylus, the only surviving trilogy of ancient Greek plays, is performed."
449 BCE,-449-01-01,The Greco-Persian Wars end.
447 BCE,-447-01-01,Building of the Parthenon at Athens started.
432 BCE,-432-01-01,Construction of the Parthenon is completed.
431 BCE,-431-01-01,Beginning of the Peloponnesian War between the Greek city-states.
429 BCE,-429-01-01,Sophocles's play Oedipus Rex is first performed.
427 BCE,-427-01-01,Birth of Plato.
424 BCE,-424-01-01,Nanda dynasty comes to power in Magadha.
404 BCE,-404-01-01,End of the Peloponnesian War.
400 BCE,-400-01-01,Zapotec culture flourishes around city of Monte Albán.
400 BCE,-400-01-01,Rise of the Garamantes as an irrigation-based desert state in the Fezzan region of Libya.
399 BCE,-399-01-01,Death of Socrates.
384 BCE,-384-01-01,Birth of Aristotle.
370 BCE,-370-01-01,Death of Democritus.
331 BCE,-331-01-01,"Alexander the Great defeats Darius III of Persia in the Battle of Gaugamela, completing his conquest of Persia."
326 BCE,-326-01-01,Alexander the Great defeats Indian king Porus in the Battle of the Hydaspes River.
323 BCE,-323-01-01,Death of Alexander the Great at Babylon.
322 BCE,-322-01-01,Death of Aristotle.
321 BCE,-321-01-01,Chandragupta Maurya overthrows the Nanda dynasty of Magadha.
321 BCE,-321-01-01,Establishment of the Seleucid Empire by Seleucus I Nicator. The empire existed until 63 BCE.
305 BCE,-305-01-01,"Chandragupta Maurya seizes the satrapies of Paropamisadae (Kabul), Aria (Herat), Arachosia (Qanadahar) and Gedrosia (Baluchistan) from Seleucus I Nicator, the Macedonian satrap of Babylonia, in return for 500 elephants."
300 BCE,-300-01-01,Completion of Euclid's Elements.
300 BCE,-300-01-01,Pingala uses zero and binary numeral system.
300 BCE,-300-01-01,"Sangam literature (Tamil: சங்க இலக்கியம், Canka ilakkiyam) period in the history of ancient southern India (known as the Tamilakam)."
300 BCE,-300-01-01,Chola Empire forms in South India.
300 BCE,-300-01-01,"Construction of the Great Pyramid of Cholula, the world's largest pyramid by volume (the Great Pyramid of Giza built 2560 BCE Egypt stands 146.5 meters, making it 91.5 meters taller), begins in Cholula, Puebla, Mexico."
273 BCE,-273-01-01,Ashoka becomes the emperor of the Maurya Empire.
261 BCE,-261-01-01,Kalinga War.
257 BCE,-257-01-01,An Durong Vurong takes over Việt Nam (then Kingdom of Âu Lạc).
255 BCE,-255-01-01,Ashoka sends a Buddhist missionary led by his son who was Mahinda Thero (Buddhist monk) to Sri Lanka (then Lanka) Mahinda (Buddhist monk).
250 BCE,-250-01-01,"Rise of Parthia (Ashkâniân), the second native dynasty of ancient Persia."
232 BCE,-232-01-01,Death of Emperor Ashoka; Decline of the Mauryan Empire.
230 BCE,-230-01-01,Emergence of Satavahana in South India.
221 BCE,-221-01-01,"Qin Shi Huang unifies China, end of Warring States period; marking the beginning of Imperial rule in China which lasts until 1912. Construction of the Great Wall by the Qin dynasty begins."
216 BCE,-216-01-01,Battle of Cannae - Rome defeated in major battle in the second Punic War.
207 BCE,-207-01-01,Kingdom of Nanyue extends from Guangzhou to North Việt Nam .
206 BCE,-206-01-01,"Han dynasty established in China, after the death of Qin Shi Huang; China in this period officially becomes a Confucian state and opens trading connections with the West, i.e. the Silk Road."
202 BCE,-202-01-01,Scipio Africanus defeats Hannibal at Battle of Zama.
200 BCE,-200-01-01,"El Mirador, largest early Maya city, flourishes."
200 BCE,-200-01-01,Paper is invented in the Han dynasty.
200 BCE,-200-01-01,Chera dynasty in South India.
185 BCE,-185-01-01,Shunga Empire founded.
146 BCE,-146-01-01,"Roman conquest of Greece, see Roman Greece."
145 BCE,-145-01-01,Eucratides I dies; Greco-Bactrian Kingdom collapses. Remnants move southwards to form the Indo-Greek Kingdom.
121 BCE,-121-01-01,Roman armies enter Gaul for the first time.
111 BCE,-111-01-01,First Chinese domination of Việtnam in the form of the Nanyue Kingdom.
100 BCE,-100-01-01,Chola dynasty rises in prominence.
82 BCE,-082-01-01,Burebista becomes the king of Dacia.
